Project_Name,Top,GA,PSO,SA,RS,ARM
puppet-openstack-integration,auto,0.56,0.55,0.47,0.56,
puppet-openstack-integration,1,0.75,0.68,0.63,0.65,0.1
puppet-openstack-integration,3,0.55,0.53,0.5,0.51,0.09
puppet-openstack-integration,5,0.55,0.52,0.49,0.51,0.09
puppet-openstack-integration,7,0.54,0.5,0.49,0.48,0.09
puppet-openstack-integration,10,0.52,0.45,0.49,0.42,0.08
puppet-tp,auto,0.55,0.48,0.41,0.47,
puppet-tp,1,0.78,0.63,0.38,0.52,0.28
puppet-tp,3,0.57,0.5,0.35,0.39,0.24
puppet-tp,5,0.49,0.42,0.37,0.36,0.2
puppet-tp,7,0.45,0.39,0.4,0.36,0.16
puppet-tp,10,0.38,0.35,0.39,0.3,0.12
puppet-prometheus,auto,0.69,0.68,0.43,0.67,
puppet-prometheus,1,0.77,0.73,0.74,0.75,0.09
puppet-prometheus,3,0.68,0.65,0.62,0.64,0.09
puppet-prometheus,5,0.67,0.62,0.54,0.58,0.09
puppet-prometheus,7,0.67,0.6,0.51,0.54,0.09
puppet-prometheus,10,0.65,0.52,0.46,0.45,0.08
puppet-icinga2,auto,0.55,0.49,0.42,0.48,
puppet-icinga2,1,0.76,0.54,0.6,0.44,0.11
puppet-icinga2,3,0.56,0.46,0.45,0.37,0.09
puppet-icinga2,5,0.51,0.42,0.43,0.37,0.08
puppet-icinga2,7,0.46,0.38,0.41,0.34,0.07
puppet-icinga2,10,0.41,0.33,0.39,0.29,0.06
puppet-tripleo,auto,0.43,0.31,0.17,0.31,
puppet-tripleo,1,0.7,0.44,0.47,0.38,0.04
puppet-tripleo,3,0.49,0.31,0.35,0.25,0.03
puppet-tripleo,5,0.4,0.24,0.31,0.21,0.02
puppet-tripleo,7,0.32,0.21,0.27,0.17,0.02
puppet-tripleo,10,0.24,0.16,0.22,0.13,0.01
talend-cloud-installer,auto,0.28,0.2,0.16,0.19,
talend-cloud-installer,1,0.4,0.29,0.15,0.3,0.17
talend-cloud-installer,3,0.27,0.21,0.11,0.21,0.09
talend-cloud-installer,5,0.19,0.15,0.14,0.17,0.07
talend-cloud-installer,7,0.16,0.12,0.13,0.13,0.05
talend-cloud-installer,10,0.13,0.09,0.13,0.1,0.04
eyp-systemd,auto,0.52,0.54,0.28,0.51,
eyp-systemd,1,0.95,0.46,0.33,0.27,0.18
eyp-systemd,3,0.54,0.37,0.34,0.24,0.14
eyp-systemd,5,0.41,0.34,0.3,0.28,0.12
eyp-systemd,7,0.33,0.3,0.27,0.22,0.1
eyp-systemd,10,0.25,0.23,0.26,0.19,0.08
control-repo,auto,0.46,0.46,0.41,0.41,
control-repo,1,0.64,0.59,0.53,0.6,0
control-repo,3,0.47,0.43,0.43,0.49,0
control-repo,5,0.49,0.41,0.42,0.45,0
control-repo,7,0.44,0.37,0.41,0.38,0
control-repo,10,0.43,0.34,0.42,0.34,0
puppet-hpc,auto,0.26,0.22,0.06,0.23,
puppet-hpc,1,0.72,0.47,0.27,0.21,0.14
puppet-hpc,3,0.43,0.29,0.12,0.17,0.1
puppet-hpc,5,0.27,0.2,0.13,0.13,0.06
puppet-hpc,7,0.19,0.15,0.1,0.12,0.04
