Project,TopK,GA,GA_HIST,GA_SIM
puppet-openstack-integration,Auto,94.35%,78.76%,80.00%
puppet-openstack-integration,1,75.45%,68.64%,68.49%
puppet-openstack-integration,3,79.20%,77.78%,79.02%
puppet-openstack-integration,5,82.82%,82.02%,80.89%
puppet-openstack-integration,7,87.77%,83.41%,81.78%
puppet-openstack-integration,10,94.35%,86.03%,81.78%
puppet-prometheus,Auto,81.56%,77.46%,80.99%
puppet-prometheus,1,77.18%,71.55%,70.83%
puppet-prometheus,3,82.52%,77.87%,81.40%
puppet-prometheus,5,84.27%,79.67%,82.72%
puppet-prometheus,7,85.94%,85.60%,86.12%
puppet-prometheus,10,88.45%,87.30%,87.95%
puppet-icinga2,Auto,84.95%,78.35%,84.62%
puppet-icinga2,1,76.21%,64.66%,68.40%
puppet-icinga2,3,84.56%,77.24%,83.89%
puppet-icinga2,5,86.00%,82.03%,85.67%
puppet-icinga2,7,88.08%,83.50%,87.38%
puppet-icinga2,10,88.74%,84.56%,89.70%
puppet-tripleo,Auto,73.88%,69.23%,69.47%
puppet-tripleo,1,70.22%,59.28%,64.17%
puppet-tripleo,3,76.15%,70.22%,72.09%
puppet-tripleo,5,78.24%,76.71%,74.08%
puppet-tripleo,7,79.66%,78.49%,75.72%
puppet-tripleo,10,81.44%,80.88%,78.78%
puppet-tp,Auto,91.95%,90.80%,75.58%
puppet-tp,1,77.91%,77.91%,49.41%
puppet-tp,3,91.95%,90.80%,73.26%
puppet-tp,5,91.95%,97.70%,82.76%
puppet-tp,7,94.25%,98.85%,83.91%
puppet-tp,10,95.40%,98.85%,90.80%
talend-cloud-installer,Auto,63.93%,75.00%,33.33%
talend-cloud-installer,1,40.35%,50.00%,13.21%
talend-cloud-installer,3,65.57%,76.56%,30.36%
talend-cloud-installer,5,71.43%,81.82%,48.33%
talend-cloud-installer,7,75.00%,85.07%,51.67%
talend-cloud-installer,10,75.00%,85.07%,54.10%
eyp-systemd,Auto,97.37%,100.00%,94.74%
eyp-systemd,1,94.59%,78.95%,60.00%
eyp-systemd,3,97.37%,100.00%,94.74%
eyp-systemd,5,97.37%,100.00%,94.74%
eyp-systemd,7,97.37%,100.00%,94.74%
eyp-systemd,10,97.37%,100.00%,94.74%
control-repo,Auto,79.55%,79.78%,79.31%
control-repo,1,63.64%,7.14%,58.11%
control-repo,3,77.91%,82.42%,76.47%
control-repo,5,83.33%,83.70%,83.33%
control-repo,7,87.10%,83.70%,85.87%
control-repo,10,88.17%,83.70%,88.17%
puppet-hpc,Auto,78.52%,81.43%,68.80%
puppet-hpc,1,71.65%,66.67%,58.26%
puppet-hpc,3,93.20%,83.80%,87.94%
puppet-hpc,5,94.63%,84.62%,88.73%
puppet-hpc,7,94.63%,85.42%,88.73%
puppet-hpc,10,94.63%,85.42%,88.73%
secure_windows,Auto,71.43%,74.42%,65.43%
secure_windows,1,63.75%,33.33%,58.75%
secure_windows,3,74.42%,75.86%,70.24%
secure_windows,5,79.78%,81.32%,77.01%
secure_windows,7,84.78%,84.78%,81.11%
