Row,Best_Algorithm
0,2
1,2
2,1
3,2
4,2
5,1
6,2
7,2
8,1
9,2
10,2
11,1
12,2
13,1
14,2
15,2
16,1
17,1
18,2
19,2
20,2
21,2
22,2
23,2
24,1
25,2
26,2
27,1
28,2
29,1
30,2
31,2
32,2
33,3
34,3
35,1
36,1
37,2
38,1
39,2
40,2
41,2
42,2
43,2
44,2
45,1
46,1
47,2
48,2
49,2
50,2
51,1
52,2
53,2
54,1
55,2
56,2
57,2
58,1
59,2
60,1
61,1
62,2
63,1
64,3
65,3
66,1
67,1
68,1
69,2
70,1
71,1
72,3
73,1
74,3
75,1
76,1
77,1
78,3
79,3
80,1
81,1
82,2
83,3
84,1
85,3
86,1
87,1
88,3
89,2
90,1
91,1
92,1
93,3
94,1
95,2
96,2
97,1
98,1
99,3
100,3
101,1
102,2
103,1
104,1
105,3
106,1
107,3
108,1
109,1
110,3
111,1
112,1
113,1
114,3
115,1
116,1
117,1
118,1
119,1
120,1
121,3
122,1
123,1
124,3
125,3
126,1
127,3
128,3
129,3
130,3
131,3
132,3
133,3
134,3
135,3
136,3
137,3
138,3
139,3
140,3
141,3
142,3
143,1
144,3
145,1
146,3
147,3
148,3
149,1
150,3
151,3
152,3
153,3
154,3
155,3
156,3
157,3
158,1
159,3
160,3
161,3
162,3
163,3
164,1
165,3
166,3
167,3
168,3
169,3
170,3
171,3
172,3
173,3
174,3
175,3
176,3
177,3
178,3
179,3
180,3
181,3
182,1
183,3
184,3
185,3
186,3
187,3
188,1
189,3
190,3
191,1
192,1
193,3
194,1
195,3
196,3
197,3
198,3
199,3
200,1
201,3
202,3
203,3
204,3
205,3
206,3
207,3
208,3
209,3
210,3
211,3
212,3
213,3
214,3
215,3
216,1
217,3
218,3
219,3
220,3
221,3
222,3
223,3
224,3
225,3
226,3
227,3
228,3
229,1
230,3
231,3
232,3
233,3
234,3
235,3
236,1
237,3
238,3
239,3
240,3
241,3
242,3
243,3
244,3
245,3
246,3
247,1
248,1
249,3
250,3
251,3
252,2
253,3
254,3
255,3
256,3
257,2
258,3
259,1
260,3
261,1
262,3
263,3
264,1
265,1
266,3
267,2
268,3
269,3
270,3
271,1
272,3
273,3
274,1
275,1
276,3
277,3
278,3
279,3
280,3
281,3
282,3
283,3
284,2
285,3
286,3
287,3
288,1
289,3
290,3
291,1
292,3
293,3
294,3
295,3
296,3
297,3
298,2
299,3
300,1
301,3
302,2
303,3
304,3
305,2
306,3
307,3
308,3
309,3
310,3
311,1
312,3
313,1
314,3
315,1
316,3
317,3
318,3
319,3
320,1
321,3
322,1
323,3
324,3
325,2
326,3
327,3
328,3
329,3
330,3
331,3
332,3
333,3
334,3
335,3
336,2
337,1
338,1
339,2
340,1
341,1
342,2
343,3
344,1
345,2
346,2
347,3
348,2
349,3
350,2
351,2
352,3
353,2
354,3
355,2
356,3
357,2
358,1
359,2
360,2
361,2
362,1
363,1
364,2
365,3
366,2
367,2
368,3
369,3
370,2
371,2
372,2
373,2
374,3
375,2
376,1
377,2
378,1
379,2
380,3
381,2
382,3
383,2
384,3
385,3
386,2
387,2
388,1
389,1
390,2
391,3
392,2
393,2
394,3
395,2
396,1
397,2
398,2
399,2
400,3
401,3
402,1
403,2
404,2
405,3
406,3
407,2
408,2
409,2
410,2
411,1
412,1
413,2
414,2
415,3
416,2
417,2
418,3
419,2
420,3
421,2
422,3
423,3
424,2
425,2
426,1
427,3
428,1
429,2
430,3
431,3
432,1
433,3
434,3
435,2
436,3
437,2
438,3
439,3
440,2
441,2
442,3
443,1
444,3
445,3
446,1
447,2
448,3
449,3
450,2
451,2
452,2
453,3
454,1
455,2
456,3
457,2
458,3
459,2
460,1
461,2
462,3
463,2
464,1
465,2
466,1
467,2
468,1
469,2
470,1
471,1
472,1
473,2
474,2
475,3
476,2
477,2
478,2
479,2
480,2
481,3
482,2
483,3
484,2
485,3
486,1
487,2
488,2
489,3
490,3
491,1
492,1
493,2
494,3
495,2
496,1
497,2
498,2
499,3
500,1
501,2
502,2
503,3
504,3
505,1
506,2
507,2
508,3
509,1
510,3
511,3
512,1
513,2
514,2
515,1
516,2
517,3
518,2
519,1
520,2
521,1
522,1
523,2
524,2
525,3
526,1
527,2
528,3
529,2
530,2
531,1
532,1
533,2
534,3
535,2
536,2
537,2
538,3
539,3
540,2
541,2
542,1
543,1
544,2
