Row,z_1,z_2
bnd_pnt_1,-1.75155300165575,0.0404121455761032
bnd_pnt_2,-1.67234660167384,-0.417974048376835
bnd_pnt_3,-1.78454778184593,-0.379047419289945
bnd_pnt_4,NaN,NaN
bnd_pnt_5,-1.75155300165575,0.0404121455761032
bnd_pnt_6,-0.840534109411195,0.688658008254544
bnd_pnt_7,-1.33818019665596,0.260850104140432
bnd_pnt_8,-1.16851189269048,-0.0331400614320836
bnd_pnt_9,NaN,NaN
bnd_pnt_10,1.85353484677316,-0.815985544841885
bnd_pnt_11,1.39166949825073,-0.659133292258022
bnd_pnt_12,1.39874821296387,-0.536317040218527
bnd_pnt_13,NaN,NaN
bnd_pnt_14,-0.32710139282334,0.877778940205874
bnd_pnt_15,-0.316322065377384,0.936827920776467
bnd_pnt_16,-0.453966582533884,0.868881762209967
bnd_pnt_17,NaN,NaN
bnd_pnt_18,0.0682739411559056,0.93810540896623
bnd_pnt_19,-0.315488718583384,0.840231394234794
bnd_pnt_20,-0.32710139282334,0.877778940205874
bnd_pnt_21,-0.340423044809784,0.833872196562894
bnd_pnt_22,-0.722064764399051,0.736539101908635
bnd_pnt_23,-0.289631332881535,0.950003401935432
bnd_pnt_24,NaN,NaN
bnd_pnt_25,-0.540971560025982,-0.418820153288163
bnd_pnt_26,-0.371805787454884,-0.523922495650233
bnd_pnt_27,-0.391532575878284,-0.587918414349033
bnd_pnt_28,-0.224889525185084,-0.616789257123233
bnd_pnt_29,-0.224035106364484,-0.615732112211607
bnd_pnt_30,-0.221345278950398,-0.617403296384887
bnd_pnt_31,-0.54371832279581,-0.561552293749111
bnd_pnt_32,NaN,NaN
bnd_pnt_33,0.257401427668074,-0.384255620270093
bnd_pnt_34,0.338523313518082,-0.176766732159915
bnd_pnt_35,0.706774250063016,-0.371856427845306
bnd_pnt_36,0.568062589066387,-0.592544793537509
bnd_pnt_37,0.775439026587616,-0.408233226998007
bnd_pnt_38,0.838297856372557,-0.441534187720456
bnd_pnt_39,0.691313620540039,-0.595541407152321
bnd_pnt_40,0.650449255067054,-1.01406163804385
bnd_pnt_41,0.629780796917222,-0.697902405257716
