Row,Best_Algorithm
1,3
2,4
3,1
4,4
5,2
6,2
7,4
8,3
9,4
10,2
11,1
12,4
13,2
14,3
15,1
16,1
17,3
18,1
19,4
20,1
21,4
22,1
23,1
24,4
25,3
26,1
27,1
28,3
29,4
30,4
31,2
32,4
33,3
34,2
35,4
36,2
37,2
38,2
39,2
40,2
41,4
42,1
43,4
44,2
45,1
46,4
47,1
48,4
49,2
50,2
51,2
52,4
53,1
54,1
55,2
56,3
57,4
58,1
59,3
60,4
61,2
62,2
63,1
64,1
65,1
66,4
67,1
68,1
69,2
70,1
71,1
72,1
73,2
74,2
75,2
76,1
77,1
78,4
79,4
80,4
81,4
82,4
83,1
84,1
85,4
86,4
87,3
88,3
89,3
90,2
91,4
92,4
93,4
94,4
95,1
96,4
97,3
98,4
99,4
100,4
101,4
102,1
103,1
104,2
105,1
106,1
107,1
108,1
109,3
110,4
111,1
112,4
113,2
114,2
115,3
116,2
117,3
118,1
119,4
120,4
121,4
122,4
123,2
124,4
125,4
126,1
127,1
128,2
129,1
130,4
131,1
132,1
133,1
134,3
135,1
136,4
137,1
138,1
139,1
140,2
141,4
142,1
143,3
144,1
145,1
146,2
147,4
148,4
149,4
150,4
151,4
152,4
153,4
154,4
155,3
156,4
157,1
158,1
159,1
160,1
161,3
162,1
163,1
164,1
165,1
166,2
167,1
168,2
169,3
170,1
171,1
172,4
173,4
174,4
175,1
176,1
177,2
178,2
179,4
180,4
181,3
182,4
183,4
184,4
185,4
186,4
187,1
188,3
189,2
190,4
191,3
192,3
193,1
194,3
195,1
196,4
197,4
198,4
199,1
200,4
201,4
202,2
203,1
204,4
205,4
206,4
207,4
208,4
209,4
210,1
211,1
212,2
213,2
214,4
215,4
216,4
217,2
218,4
219,1
220,4
221,4
222,3
223,4
224,1
225,2
226,1
227,4
228,1
229,1
230,1
231,2
232,1
233,4
234,1
235,4
236,3
237,1
238,2
239,1
240,3
241,2
242,3
243,2
244,3
245,1
246,1
247,4
248,3
249,4
250,3
251,2
252,4
253,1
254,2
255,4
256,4
257,4
258,1
259,2
260,4
261,4
262,4
263,4
264,4
265,4
266,4
267,4
268,4
269,2
270,1
271,1
272,1
273,2
274,4
275,4
276,4
277,4
278,4
279,1
280,4
281,4
282,4
283,4
284,1
285,4
286,4
287,1
288,4
289,1
290,1
291,2
292,3
293,1
294,2
295,1
296,1
297,1
298,2
299,4
