Row,z_1,z_2
bnd_pnt_1,-6.42466863671196,0.790430562513214
bnd_pnt_2,-6.23964302754375,0.78864136986269
bnd_pnt_3,-6.30231711262167,0.731655799975649
bnd_pnt_4,NaN,NaN
bnd_pnt_5,-6.01899093570674,0.838126577089585
bnd_pnt_6,-5.49058402152613,1.23815714432375
bnd_pnt_7,-5.18357776112775,2.52781769054646
bnd_pnt_8,-4.73929850105056,3.07507694546374
bnd_pnt_9,-4.80808812724737,4.01045923255753
bnd_pnt_10,-4.62192930363051,4.26373151262909
bnd_pnt_11,-4.11996614377798,4.44133096452822
bnd_pnt_12,-3.81848414049692,4.41208444892673
bnd_pnt_13,-3.61781819276925,4.16557435096152
bnd_pnt_14,-3.92383407210456,3.56954858458851
bnd_pnt_15,-4.7546607418223,2.9495739745857
bnd_pnt_16,-4.66605546387823,2.44116662114976
bnd_pnt_17,-4.05494330237864,1.48842998126564
bnd_pnt_18,-4.00484904211706,1.15849280570139
bnd_pnt_19,-4.08849455973877,1.07466492727827
bnd_pnt_20,-4.32752901692831,-0.367860003897524
bnd_pnt_21,-4.26250037129342,-1.32376002555311
bnd_pnt_22,-4.78018029150313,-1.90484483358414
bnd_pnt_23,-4.49419764995796,-1.34804610739761
bnd_pnt_24,-4.40603232888279,-0.408300867622501
bnd_pnt_25,-4.76386263820189,0.149576839914991
bnd_pnt_26,-5.35303452193161,0.638578962941817
bnd_pnt_27,-5.8560260828535,0.860402875843937
bnd_pnt_28,NaN,NaN
bnd_pnt_29,-4.64529064047949,-2.59820709852179
bnd_pnt_30,-4.78018029150313,-1.90484483358414
bnd_pnt_31,-3.93555487193409,-2.34990562595801
bnd_pnt_32,-3.49255599322848,-2.06370704926207
bnd_pnt_33,-3.15203850608671,-2.02627698853567
bnd_pnt_34,-2.09069822966902,-2.36368668713773
bnd_pnt_35,-1.85549879657879,-2.23869482322385
bnd_pnt_36,-1.39105949237466,-1.59915454163436
bnd_pnt_37,-1.18489725209521,-0.744435669460756
bnd_pnt_38,-0.737656158572738,-1.12726447497163
bnd_pnt_39,-0.36203822794416,-1.08497852249924
bnd_pnt_40,-0.0344372152351515,-1.44347430141004
bnd_pnt_41,-0.702679111973015,-2.34522177428133
bnd_pnt_42,-1.27939530154733,-2.77464174506208
bnd_pnt_43,-1.41199132851367,-3.31306278129786
bnd_pnt_44,-1.7020533625363,-3.77924861194203
bnd_pnt_45,-1.48892109281118,-4.28177371259981
bnd_pnt_46,-1.79431061736174,-4.55065423697162
bnd_pnt_47,-2.56199327315474,-4.67239723397457
bnd_pnt_48,-3.06392702055837,-4.16872435057503
bnd_pnt_49,-2.82647594648932,-3.59133860749676
bnd_pnt_50,-2.96288641890237,-3.33100247101373
bnd_pnt_51,-3.53309313010299,-3.10943081651203
bnd_pnt_52,-4.32291097449066,-3.36702942612458
bnd_pnt_53,-4.73699390890833,-2.74355380021424
bnd_pnt_54,NaN,NaN
bnd_pnt_55,1.6421998715182,-4.52441171527988
bnd_pnt_56,1.67059783622263,-4.4635219536994
bnd_pnt_57,1.8146353039411,-4.50340414992942
bnd_pnt_58,NaN,NaN
bnd_pnt_59,2.49954022548006,-5.00168445333745
bnd_pnt_60,1.8146353039411,-4.50340414992942
bnd_pnt_61,2.6930179874048,-4.791560834411
bnd_pnt_62,3.28965850411369,-4.3044428060383
bnd_pnt_63,3.16265169301855,-3.71801950546898
bnd_pnt_64,2.71156431053448,-3.51757819356873
bnd_pnt_65,3.06728810629947,-3.45103604509393
bnd_pnt_66,3.26210267574885,-2.71653688476918
bnd_pnt_67,4.8494289670309,-2.75132813689788
bnd_pnt_68,4.61899218701768,-3.21638421336034
bnd_pnt_69,4.62336604567057,-3.49110094929708
bnd_pnt_70,4.0714853232492,-4.00745844737236
bnd_pnt_71,3.74264854508493,-4.7485524902177
bnd_pnt_72,NaN,NaN
bnd_pnt_73,2.94705637551965,-2.53663707452826
bnd_pnt_74,2.52662427356759,-2.42498303716901
bnd_pnt_75,2.44368598519315,-2.32483632222521
bnd_pnt_76,2.71424218278811,-2.27149316394238
bnd_pnt_77,3.21949612185475,-1.82984028102207
bnd_pnt_78,3.28846828017141,-1.32942197507676
bnd_pnt_79,3.3940914952045,-1.24681729964442
bnd_pnt_80,3.74788585792229,-1.45352955525917
bnd_pnt_81,4.35329539240329,-1.47318403622459
bnd_pnt_82,3.26210267574885,-2.71653688476918
bnd_pnt_83,NaN,NaN
bnd_pnt_84,4.59912443193493,-1.28426318970271
bnd_pnt_85,5.15515354724507,-1.47644086998375
bnd_pnt_86,5.28615027979106,-1.94861931700415
bnd_pnt_87,5.04857933253148,-2.62047022441725
bnd_pnt_88,4.8494289670309,-2.75132813689788
bnd_pnt_89,4.35329539240329,-1.47318403622459
