Row,IsBetaEasy
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,1
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,1
61,0
62,0
63,0
64,0
65,0
66,1
67,0
68,1
69,0
70,0
71,0
72,0
73,1
74,0
75,0
76,1
77,0
78,0
79,0
80,0
81,1
82,0
83,0
84,0
85,0
86,0
87,1
88,1
89,0
90,0
91,0
92,1
93,0
94,1
95,0
96,0
97,1
98,1
99,0
100,0
101,1
102,0
103,0
104,0
105,0
106,1
107,1
108,0
109,1
110,0
111,1
112,1
113,0
114,0
115,0
116,1
117,0
118,0
119,0
120,0
121,1
122,1
123,1
124,1
125,0
126,1
127,1
128,1
129,0
130,0
131,0
132,1
133,0
134,1
135,0
136,1
137,0
138,1
139,0
140,0
141,1
142,0
143,1
144,0
145,1
146,0
147,1
148,0
149,1
150,0
151,0
152,1
153,1
154,0
155,0
156,1
157,0
158,1
159,0
160,0
161,1
162,1
163,0
164,1
165,0
166,0
167,1
168,0
169,0
170,1
171,0
172,1
173,0
174,0
175,0
176,1
177,1
178,0
179,0
180,0
181,0
182,1
183,0
184,1
185,0
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,0
194,1
195,1
196,1
197,0
198,0
199,0
200,1
201,0
202,1
203,1
204,0
205,1
206,1
207,0
208,1
209,1
210,1
211,0
212,0
213,1
214,1
215,0
216,1
217,0
218,0
219,1
220,0
221,1
222,1
223,0
224,0
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,0
233,0
234,1
235,0
236,1
237,1
238,1
239,1
240,1
241,1
242,0
243,1
244,0
245,0
246,1
247,1
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,0
296,1
297,0
298,0
299,0
300,1
301,0
302,1
303,1
304,0
305,0
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,0
315,1
316,0
317,1
318,0
319,0
320,1
321,1
322,1
323,1
324,0
325,1
326,0
327,1
328,0
329,0
330,0
331,0
332,1
333,1
334,0
335,0
336,1
337,1
338,1
339,1
340,1
341,1
342,0
343,1
344,1
345,1
346,0
347,1
348,1
349,1
350,1
351,0
352,1
353,0
354,1
355,0
356,1
357,1
358,1
359,0
360,1
361,1
362,1
363,1
364,0
365,1
366,1
367,0
368,1
369,0
370,0
371,0
372,0
373,0
374,1
375,1
376,1
377,0
378,1
379,0
380,1
381,0
382,1
383,0
384,1
385,0
386,0
387,1
388,1
389,1
390,1
391,1
392,1
393,0
394,1
395,1
396,1
397,1
398,0
399,0
400,1
401,1
402,1
403,0
404,0
405,0
406,1
407,1
408,1
409,0
410,0
411,1
412,1
413,0
414,0
415,1
416,1
417,0
418,1
419,0
420,1
421,0
422,1
423,0
424,0
425,0
426,1
427,0
428,0
429,0
430,0
431,0
432,1
433,1
434,1
435,0
436,1
437,0
438,1
439,0
440,1
441,1
442,1
443,1
444,0
445,0
446,1
447,0
448,1
449,0
450,0
451,0
452,0
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,0
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,0
470,1
471,1
472,1
473,0
474,1
475,1
476,0
477,1
478,1
479,1
480,0
481,1
482,0
483,1
484,0
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,1
493,0
494,1
495,1
496,1
497,0
498,1
499,0
500,1
501,0
502,0
503,1
504,0
505,0
506,1
507,0
508,1
509,1
510,0
511,0
512,1
513,1
514,1
515,1
516,1
517,1
518,0
519,1
520,1
521,1
522,1
523,1
524,0
525,1
526,1
527,0
528,1
529,1
530,0
