Row,NumGoodAlgos
0,1
1,0
2,2
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,1
12,0
13,2
14,0
15,0
16,2
17,2
18,0
19,1
20,0
21,0
22,0
23,0
24,2
25,1
26,0
27,0
28,0
29,1
30,0
31,2
32,0
33,0
34,0
35,0
36,1
37,0
38,2
39,0
40,0
41,0
42,0
43,0
44,0
45,2
46,3
47,0
48,0
49,0
50,0
51,2
52,0
53,1
54,2
55,0
56,0
57,0
58,0
59,0
60,3
61,2
62,1
63,2
64,0
65,0
66,3
67,1
68,3
69,2
70,2
71,2
72,2
73,4
74,1
75,2
76,3
77,1
78,0
79,0
80,1
81,3
82,1
83,1
84,0
85,0
86,2
87,4
88,3
89,0
90,0
91,2
92,3
93,0
94,3
95,2
96,1
97,3
98,3
99,0
100,0
101,3
102,0
103,0
104,0
105,0
106,4
107,4
108,1
109,3
110,0
111,3
112,3
113,2
114,0
115,2
116,3
117,2
118,2
119,1
120,2
121,4
122,4
123,4
124,3
125,2
126,3
127,3
128,3
129,1
130,1
131,2
132,3
133,1
134,4
135,2
136,4
137,2
138,4
139,2
140,1
141,3
142,1
143,4
144,1
145,4
146,1
147,3
148,1
149,4
150,2
151,1
152,4
153,3
154,1
155,1
156,3
157,2
158,4
159,1
160,1
161,4
162,3
163,1
164,4
165,2
166,1
167,3
168,2
169,2
170,3
171,2
172,3
173,1
174,1
175,1
176,3
177,4
178,2
179,2
180,2
181,1
182,4
183,1
184,4
185,2
186,3
187,4
188,4
189,4
190,3
191,4
192,3
193,2
194,4
195,3
196,3
197,1
198,1
199,2
200,4
201,1
202,4
203,4
204,2
205,3
206,3
207,2
208,3
209,4
210,3
211,1
212,1
213,4
214,4
215,2
216,4
217,1
218,2
219,3
220,2
221,3
222,4
223,2
224,1
225,4
226,3
227,3
228,3
229,4
230,3
231,4
232,1
233,2
234,4
235,2
236,4
237,3
238,4
239,3
240,4
241,4
242,2
243,3
244,2
245,2
246,3
247,4
248,1
249,1
250,1
251,0
252,0
253,1
254,0
255,1
256,0
257,0
258,1
259,2
260,1
261,1
262,1
263,1
264,1
265,1
266,0
267,0
268,1
269,1
270,1
271,1
272,1
273,0
274,1
275,1
276,1
277,1
278,1
279,1
280,0
281,1
282,1
283,0
284,0
285,1
286,1
287,3
288,4
289,4
290,4
291,4
292,4
293,4
294,4
295,1
296,3
297,1
298,1
299,2
300,4
301,1
302,4
303,4
304,1
305,1
306,3
307,4
308,4
309,4
310,3
311,4
312,4
313,4
314,1
315,4
316,1
317,4
318,1
319,1
320,4
321,4
322,4
323,4
324,1
325,4
326,1
327,4
328,1
329,1
330,1
331,1
332,4
333,4
334,1
335,1
336,4
337,4
338,4
339,4
340,4
341,4
342,2
343,4
344,4
345,4
346,1
347,4
348,4
349,4
350,4
351,2
352,4
353,2
354,4
355,1
356,4
357,4
358,4
359,2
360,4
361,4
362,4
363,4
364,1
365,4
366,4
367,1
368,4
369,1
370,2
371,2
372,1
373,1
374,4
375,3
376,4
377,1
378,4
379,1
380,4
381,1
382,4
383,1
384,4
385,1
386,1
387,4
388,4
389,4
390,4
391,4
392,4
393,1
394,4
395,4
396,4
397,4
398,2
399,2
400,4
401,3
402,3
403,1
404,1
405,1
406,4
407,4
408,4
409,1
410,1
411,4
412,4
413,1
414,1
415,4
416,4
417,1
418,4
419,2
420,4
421,2
422,4
423,2
424,2
425,2
426,4
427,2
428,2
429,1
430,1
431,2
432,4
433,3
434,3
435,1
436,4
437,2
438,4
439,2
440,3
441,3
442,4
443,4
444,2
445,2
446,4
447,1
448,4
449,1
450,1
451,1
452,2
453,4
454,4
455,3
456,4
457,4
458,4
459,4
460,4
461,2
462,4
463,4
464,4
465,4
466,4
467,4
468,4
469,1
470,4
471,4
472,4
473,1
474,3
475,4
476,1
477,4
478,4
479,4
480,1
481,4
482,2
483,4
484,1
485,4
486,4
487,4
488,4
489,4
490,4
491,4
492,4
493,1
494,4
495,4
496,4
497,2
498,4
499,1
500,4
501,1
502,2
503,4
504,2
505,2
506,4
507,1
508,4
509,4
510,2
511,2
512,4
513,4
514,4
515,4
516,3
517,4
518,1
519,4
520,4
521,4
522,4
523,4
524,2
525,4
526,4
527,1
528,4
529,4
530,1
531,4
532,4
533,3
534,4
535,4
536,4
537,1
538,4
539,2
540,2
541,4
542,4
543,4
544,3
545,4
546,1
547,4
548,1
549,4
550,2
551,4
552,2
553,4
554,4
555,1
556,4
557,3
558,4
559,3
560,3
561,4
562,4
563,4
564,3
565,4
566,2
567,4
568,1
569,4
570,1
571,4
572,4
573,1
574,1
575,4
576,4
577,4
578,4
579,1
580,1
581,4
582,2
583,4
584,2
585,2
586,4
587,4
588,4
589,4
590,2
591,4
592,3
593,4
594,1
595,4
596,1
597,4
598,1
599,1
600,1
601,4
602,4
603,3
604,1
605,4
606,1
607,4
608,1
609,4
610,4
611,3
612,4
613,1
614,4
615,4
616,4
617,4
618,4
619,1
620,4
621,4
622,4
623,4
624,4
625,4
626,4
627,1
628,4
629,2
630,4
631,0
632,0
633,0
634,2
635,0
636,4
637,0
638,0
639,3
640,0
641,3
642,3
643,2
644,3
645,2
646,3
647,0
648,0
649,2
650,0
651,0
652,3
653,1
654,1
655,0
656,3
657,3
658,0
659,0
660,3
661,0
662,3
663,3
664,0
665,3
666,0
667,3
668,0
669,3
670,2
671,2
672,3
673,1
674,3
675,2
676,0
677,3
678,0
679,0
680,3
681,3
682,3
683,0
684,0
685,3
686,0
687,0
688,0
689,0
690,3
691,0
692,3
693,3
694,1
695,3
696,3
697,3
698,1
699,3
700,0
701,3
702,3
703,0
704,0
705,3
706,3
707,0
708,3
709,0
710,3
711,0
712,3
713,0
714,3
715,0
716,0
717,3
718,3
719,4
720,4
721,1
722,1
723,1
724,1
725,0
726,1
727,4
728,4
729,1
730,4
731,4
732,1
733,3
734,1
735,2
736,4
737,4
738,4
739,4
740,4
741,1
742,4
743,4
744,3
745,4
746,4
747,4
748,1
749,1
750,0
751,4
752,4
753,4
754,1
755,4
756,4
757,4
758,3
759,4
760,1
761,4
762,1
763,1
764,1
765,3
766,2
767,4
768,0
769,0
770,0
771,0
772,1
773,0
774,0
775,0
776,0
777,0
778,0
779,1
780,0
781,0
782,2
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,2
795,0
796,3
797,2
798,0
799,2
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,1
808,1
809,0
810,0
811,0
812,0
813,1
814,0
815,3
816,2
817,1
818,3
819,3
820,3
821,3
822,0
823,3
824,0
825,2
826,1
827,1
828,0
829,0
830,2
831,2
832,0
833,3
834,3
835,0
836,2
837,2
838,0
839,3
840,0
841,0
842,3
843,3
844,0
845,0
846,0
847,0
848,2
849,2
850,0
851,2
852,2
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,3
874,3
875,0
876,0
877,2
878,3
879,3
880,3
881,3
882,0
883,1
884,0
885,0
886,0
887,0
888,1
889,0
890,0
891,0
892,0
893,0
894,0
895,0
896,1
897,3
898,3
899,0
900,3
901,3
902,0
903,0
904,3
905,3
906,2
907,2
908,0
909,3
910,0
911,2
912,0
913,0
914,0
915,0
916,0
917,1
918,0
919,0
920,3
921,3
922,0
923,0
924,0
925,0
926,0
927,0
928,2
929,0
930,0
931,0
932,3
933,3
934,3
935,0
936,1
937,0
938,0
939,0
940,3
941,3
942,3
943,3
944,0
945,2
946,3
947,3
948,0
949,0
950,0
951,0
952,0
953,0
954,0
955,0
956,0
957,0
958,3
959,1
960,0
961,0
962,0
963,0
964,0
965,1
966,1
967,0
968,0
969,2
970,0
971,0
972,0
973,0
974,1
975,3
976,3
977,0
978,0
979,0
980,0
981,0
982,0
983,0
984,0
985,0
986,0
987,3
988,3
