Row,NumGoodAlgos
1,4
2,1
3,3
4,2
5,2
6,3
7,2
8,3
9,4
10,1
11,3
12,4
13,3
14,0
15,1
16,2
17,4
18,4
19,1
20,0
21,3
22,3
23,0
24,1
25,0
26,3
27,0
28,3
29,3
30,1
31,2
32,3
33,0
34,2
35,3
36,0
37,3
38,2
39,2
40,4
41,1
42,0
43,3
44,3
45,0
46,1
47,0
48,0
49,2
50,1
51,4
52,3
53,4
54,4
55,3
56,0
57,1
58,3
59,3
60,3
61,3
62,2
63,4
64,3
65,4
66,1
67,3
68,4
69,4
70,4
71,4
72,3
73,1
74,1
75,4
76,2
77,2
78,3
79,3
80,2
81,3
82,3
83,3
84,4
85,3
86,3
87,0
88,3
89,3
90,3
91,0
92,0
93,1
94,3
95,2
96,0
97,3
98,3
99,1
100,4
101,0
102,1
103,2
104,2
105,4
106,0
107,3
108,3
109,4
110,4
111,4
112,0
113,3
114,3
115,3
116,3
117,0
118,2
119,1
120,3
121,3
122,3
123,4
124,2
125,1
126,4
127,3
128,2
129,4
130,1
131,3
132,1
133,3
134,2
135,3
136,0
137,3
138,3
139,3
140,3
141,0
142,3
143,1
144,3
145,2
146,2
147,3
148,3
149,2
150,1
151,3
152,1
153,4
154,3
155,4
156,1
157,3
158,1
159,3
160,4
161,3
162,2
163,3
164,3
165,3
166,1
167,3
168,4
169,3
170,2
171,2
172,3
173,3
174,3
175,4
176,3
177,3
178,0
179,2
180,1
181,0
182,0
183,0
184,0
185,1
186,3
187,4
188,2
189,3
190,1
191,0
192,3
193,3
194,3
195,3
196,0
197,0
198,3
199,4
200,1
201,3
202,3
203,3
204,0
205,0
206,1
207,1
208,1
209,1
210,4
211,4
212,0
213,3
214,1
215,1
216,1
217,3
218,0
219,0
220,1
221,1
222,4
223,0
224,0
225,3
226,4
227,0
228,3
229,2
230,2
231,0
232,3
233,0
234,3
235,3
236,3
237,3
238,3
239,3
240,1
241,1
242,3
243,3
244,3
245,3
246,2
247,1
248,0
249,0
250,3
251,4
252,3
253,3
254,2
255,0
256,1
257,0
258,3
259,3
260,4
261,4
262,1
263,3
264,1
265,1
266,4
267,4
268,1
269,4
270,3
271,0
272,3
273,2
274,3
275,3
276,2
277,1
278,1
279,4
280,1
281,4
282,4
283,1
284,3
285,1
286,0
287,4
288,0
289,3
290,4
291,0
292,3
293,4
294,2
295,3
296,4
297,2
298,3
299,1
300,3
301,3
302,3
303,3
304,2
305,0
306,3
307,0
308,3
309,0
310,3
311,3
312,3
313,4
314,4
315,2
316,3
317,3
318,4
319,1
320,4
321,3
322,3
323,1
324,4
325,3
326,3
327,3
328,4
329,1
330,4
331,2
332,3
333,3
334,4
335,4
336,0
337,3
338,3
339,3
340,4
341,4
342,3
343,3
344,3
345,4
346,4
347,3
348,3
349,3
350,4
351,1
352,1
353,3
354,3
355,0
356,4
357,0
358,0
359,0
360,3
361,3
362,3
363,3
364,0
365,3
366,4
367,4
368,1
369,1
370,4
371,1
372,1
373,1
374,3
375,3
376,3
377,4
378,4
379,1
380,3
381,3
382,0
383,4
384,1
385,3
386,3
387,3
388,1
389,1
390,4
391,2
392,3
393,3
394,4
395,4
396,1
397,3
398,2
399,3
400,4
401,4
402,3
403,3
404,3
405,4
406,4
407,0
408,2
409,3
410,3
411,4
412,3
413,4
414,3
415,3
416,3
417,4
418,3
419,3
420,3
421,4
422,1
423,3
424,3
425,3
426,4
427,3
428,3
429,3
430,4
431,4
432,0
433,3
434,3
435,4
436,1
437,4
438,3
439,3
440,3
441,4
442,1
443,3
444,3
445,3
446,4
447,2
448,3
449,3
450,4
451,4
452,1
453,3
454,3
455,3
456,4
457,3
458,3
459,3
460,4
461,4
462,3
463,3
464,3
465,4
466,4
467,0
468,3
469,3
470,1
471,3
472,3
473,3
474,1
475,4
476,1
477,3
478,3
479,3
480,4
481,1
482,3
483,3
484,3
485,4
486,4
487,1
488,1
489,2
490,0
491,3
492,4
493,2
494,4
495,1
496,3
497,3
498,0
499,0
500,3
501,3
502,4
503,0
504,3
505,3
506,4
507,4
508,1
509,3
510,3
511,3
512,4
513,4
514,3
515,3
516,3
517,4
518,1
519,0
520,3
521,3
522,2
523,4
524,0
525,0
526,2
527,2
528,2
529,3
530,3
531,3
532,1
533,1
534,1
535,1
536,0
537,3
538,3
539,0
540,2
541,3
542,3
543,2
544,1
545,1
546,1
547,1
548,1
549,1
550,0
551,3
552,3
553,0
554,0
555,0
556,1
557,0
558,0
