Row,Best_Algorithm
1,0
2,3
3,3
4,3
5,2
6,2
7,1
8,2
9,3
10,3
11,2
12,3
13,2
14,2
15,2
16,2
17,2
18,2
19,1
20,2
21,2
22,3
23,2
24,2
25,2
26,2
27,2
28,2
29,2
30,0
31,0
32,3
33,3
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,3
42,3
43,3
44,3
45,2
46,2
47,2
48,2
49,2
50,2
51,2
52,2
53,0
54,0
55,3
56,3
57,3
58,3
59,2
60,3
61,2
62,2
63,3
64,1
65,0
66,3
67,1
68,2
69,0
70,0
71,3
72,1
73,1
74,1
75,1
76,1
77,1
78,3
79,3
80,3
81,3
82,3
83,3
84,3
85,3
86,3
87,1
88,0
89,1
90,1
91,1
92,1
93,1
94,1
95,0
96,0
97,0
98,1
99,1
100,1
101,0
102,0
103,0
104,1
105,2
106,3
107,1
108,1
109,1
110,1
111,3
112,0
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,3
121,3
122,3
123,3
124,3
125,3
126,3
127,0
128,1
129,3
130,3
131,1
132,0
133,0
134,0
135,1
136,1
137,1
138,1
139,1
140,0
141,0
142,0
143,1
144,3
145,1
146,1
147,3
148,3
149,3
150,3
151,3
152,3
153,3
154,3
155,3
156,3
157,3
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,3
175,3
176,3
177,1
178,1
179,3
180,3
181,0
182,1
183,1
184,1
185,3
186,3
187,3
188,1
189,1
190,3
191,1
192,1
193,1
194,1
195,1
196,2
197,1
198,1
199,3
200,1
201,3
202,1
203,1
204,1
205,1
206,3
207,3
208,3
209,3
210,3
211,3
212,1
213,1
214,1
215,1
216,2
217,1
218,1
219,1
220,3
221,3
222,3
223,0
224,1
225,1
226,1
227,1
228,1
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,1
237,1
238,1
239,1
240,0
241,0
242,1
243,1
244,1
245,0
246,1
247,1
248,1
249,1
250,1
251,3
252,3
253,1
254,0
255,0
256,1
257,0
258,3
259,3
260,3
261,3
262,3
263,3
264,3
265,3
266,3
267,3
268,3
269,3
270,3
271,0
272,1
273,1
274,3
275,3
276,3
277,3
278,3
279,3
280,3
281,3
282,3
283,3
284,3
285,3
286,3
287,3
288,1
289,1
290,1
291,1
292,1
293,3
294,0
295,1
296,2
297,1
298,1
299,1
300,1
301,1
302,1
303,0
304,1
305,1
306,2
307,1
308,1
309,1
310,1
311,3
312,3
313,3
314,3
315,1
316,3
317,3
318,3
319,3
320,3
321,1
322,3
323,3
324,3
325,1
326,3
327,3
328,3
329,3
330,3
331,1
332,3
333,3
334,3
335,3
336,0
337,1
338,3
339,3
340,3
341,3
342,1
343,3
344,3
345,3
346,3
347,1
348,3
349,3
350,3
351,3
352,3
353,1
354,3
355,3
356,3
357,3
358,3
359,3
360,1
361,1
362,1
363,3
364,1
365,3
366,1
367,3
368,3
369,3
370,3
371,3
372,3
373,3
374,1
375,3
376,3
377,1
378,3
379,3
380,3
381,3
382,1
383,1
384,3
385,1
386,3
387,3
388,3
389,3
390,3
391,3
392,3
393,3
394,3
395,3
396,3
397,1
398,3
399,3
400,3
401,3
402,1
403,3
404,3
405,1
406,3
407,1
408,1
409,1
410,3
411,3
412,1
413,1
414,1
415,1
416,1
417,3
418,1
419,3
420,3
421,3
422,3
423,1
424,1
425,1
426,1
427,1
428,3
429,3
430,3
431,3
432,1
433,3
434,3
435,3
436,3
437,3
438,1
439,3
440,3
441,3
442,3
443,1
444,3
445,3
446,3
447,1
448,3
449,3
450,3
451,3
452,3
453,1
454,3
455,1
456,3
457,1
458,3
459,3
460,3
461,3
462,1
463,3
464,3
465,3
466,3
467,3
468,3
469,1
470,3
471,1
472,1
473,1
474,3
475,3
476,3
477,1
478,3
479,1
480,3
481,3
482,1
483,3
484,3
485,3
486,3
487,3
488,3
489,3
490,3
491,3
492,3
493,3
494,3
495,3
496,1
497,3
498,3
499,1
500,2
501,1
502,3
503,3
504,3
505,3
506,1
507,3
508,3
509,1
510,3
511,3
512,3
513,3
514,1
515,3
516,3
517,3
518,3
519,1
520,1
521,3
522,3
523,3
524,1
525,1
526,1
527,3
528,3
529,1
530,1
531,1
532,2
